"Name","Sector","Tagged by"
"superconductivity","Energy","Technical Activities Board (TAB)"
"supply chain integration","Manufacturing & Devices","Technical Activities Board (TAB)"
"supply-side","Energy","Technical Activities Board (TAB)"
"supportability","Transportation, Defense","Reliability (R)"
"surges","Energy","Electromagnetic Compatibility (EMC)"
"Survivability","Defense","Technical Activities Board (TAB)"
"susceptibility","Transportation, Defense","Electromagnetic Compatibility (EMC)"
"sustainability","Critical Infrastructure, Environment, Critical Infrastructure","Power Electronics (PEL), Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Sustainment of Commerce","Critical Infrastructure","Technical Activities Board (TAB)"
"Sustainment of Life","Critical Infrastructure","Technical Activities Board (TAB)"
"switching","Energy","Technical Activities Board (TAB)"
"switching amplifiers","Entertainment","Power Electronics (PEL)"
"system and equipment health management","Manufacturing & Devices","Technical Activities Board (TAB)"
"System approach","Critical Infrastructure","Engineering Management (EM)"
"system architecture for automation manufacturing","Manufacturing & Devices","Technical Activities Board (TAB)"
"system integration","Defense, Communications","Technical Activities Board (TAB), Reliability (R)"
"system Prognostics and Health management (PHM)","Defense, Education","Reliability (R)"
"system safety","Defense, Transportation, Energy, Education","Reliability (R)"
"system security","Financial Services, Defense, Energy, Communications, Computing & IT, Education","Computer (C), Reliability (R), Communications (COMM)"
"systems analysis","Computing & IT","Computer (C)"
"Systems Engineering","Computing & IT, Computing & IT","Computer (C), Technical Activities Board (TAB)"
"system-of-systems","Healthcare, Computing & IT","Computer (C), Technical Activities Board (TAB)"
"Tampering","Retail","Technical Activities Board (TAB)"
"Target Avoidance Radar","Transportation, Defense","Technical Activities Board (TAB), Electron Devices (ED)"
"telemedicine","Healthcare","Technical Activities Board (TAB)"
"Tempest / Data Security","Defense","Technical Activities Board (TAB), Reliability (R)"
"terrorism","Critical Infrastructure","Technical Activities Board (TAB)"
"Test Technology","Computing & IT","Computer (C)"
"testability","Manufacturing & Devices, Transportation, Defense, Computing & IT, Communications, Education","Reliability (R)"
"Testing and verification","Defense, Retail, Environment, Education, Financial Services, Energy, Transportation, Energy, Agriculture, Energy, Healthcare, Critical Infrastructure, Entertainment, Manufacturing & Devices, Computing & IT","Control Systems (CS), Technical Activities Board (TAB), Computer (C), Council on Electronic Design Automation (CEDA)"
"therapeutic ultrasound","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"thermal","Energy","Technical Activities Board (TAB)"
"thermal analysis","Manufacturing & Devices, Defense, Computing & IT, Critical Infrastructure, Communications","Council on Electronic Design Automation (CEDA)"
"threat recognition","Critical Infrastructure","Technical Activities Board (TAB)"
"throughput or production rate","Manufacturing & Devices","Technical Activities Board (TAB)"
"time to market","Manufacturing & Devices","Technical Activities Board (TAB)"
"Timing","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Defense, Manufacturing & Devices, Entertainment","Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA), Control Systems (CS)"
"timing analysis","Agriculture, Computing & IT, Communications","Council on Electronic Design Automation (CEDA)"
"tools","Energy","Technical Activities Board (TAB)"
"towed arrays","Defense","Oceanic Engineering (OE)"
"traceability","Healthcare","Technical Activities Board (TAB)"
"Trading","Financial Services","Technical Activities Board (TAB)"
"training and continuing education","Healthcare, Energy, Defense","Technical Activities Board (TAB), Power Electronics (PEL)"
"Transactions processing","Computing & IT","Technical Activities Board (TAB)"
"transcutaneous power","Healthcare","Power Electronics (PEL)"
"transients","Energy","Electromagnetic Compatibility (EMC)"
"transmitters and receivers","Communications","Electron Devices (ED)"
"transportation","Critical Infrastructure, Energy","Technical Activities Board (TAB), Power Electronics (PEL)"
"TREE","Defense","Electromagnetic Compatibility (EMC)"
"Trojan Horse","Defense","Technical Activities Board (TAB)"
"trust","Financial Services, Defense, Computing & IT, Healthcare, Retail, Communications, Entertainment","Reliability (R)"
"Tunable/reconfigurable electronics","Defense","Technical Activities Board (TAB)"
"tutoring","Education","Technical Activities Board (TAB)"
"Ultra High Definition TV","Entertainment","Technical Activities Board (TAB)"
"ultra wideband","Communications","Technical Activities Board (TAB)"
"ultrasonic cleaning","Environment","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"ultrasonic communication","Communications","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"ultrasound imaging","Healthcare, Healthcare","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Ultrawideband","Defense","Technical Activities Board (TAB)"
"UML","Computing & IT","Computer (C)"
"Underwater acoustics","Defense","Oceanic Engineering (OE)"
"underwater cables","Defense","Oceanic Engineering (OE)"
"Unified Modeling Language","Computing & IT","Computer (C)"
"unscheduled maintenance","Defense","Reliability (R)"
"upgradeability","Manufacturing & Devices, Defense, Communications","Reliability (R)"
"US vs world","Healthcare","Technical Activities Board (TAB)"
"usability","Healthcare","Technical Activities Board (TAB)"
"user centered design","Computing & IT","Computer (C)"
"utility computing","Computing & IT","Communications (COMM)"
"UWB","Defense","Electromagnetic Compatibility (EMC)"
"VDSL","Communications","Technical Activities Board (TAB)"
"vehicle and cargo locations","Transportation","Technical Activities Board (TAB)"
"Vehicular Control","Defense","Technical Activities Board (TAB)"
"Video on Demand","Entertainment","Technical Activities Board (TAB)"
"Virtual Worlds","Entertainment","Technical Activities Board (TAB)"
"Virus","Healthcare, Defense","Technical Activities Board (TAB)"
"VLSI","Computing & IT","Technical Activities Board (TAB)"
"volcanos","Environment","Technical Activities Board (TAB)"
"voltage","Energy","Technical Activities Board (TAB)"
"volume","Manufacturing & Devices","Technical Activities Board (TAB)"
"Vulnerability","Financial Services, Manufacturing & Devices, Transportation, Defense, Energy, Computing & IT, Retail, Communications, Defense, Transportation","Technical Activities Board (TAB), Reliability (R)"
"warning systems","Retail, Computing & IT, Transportation, Financial Services, Energy, Agriculture, Healthcare, Critical Infrastructure, Manufacturing & Devices, Communications, Defense","Technical Activities Board (TAB), Reliability (R)"
"warranty","Manufacturing & Devices, Transportation, Defense, Computing & IT, Healthcare, Retail, Manufacturing & Devices, Entertainment","Technical Activities Board (TAB), Reliability (R)"
"water","Healthcare","Technical Activities Board (TAB)"
"water pollution","Environment","Technical Activities Board (TAB)"
"wave power","Energy","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"waveform diversity","Communications","Electromagnetic Compatibility (EMC)"
"wear","Agriculture, Defense, Energy","Reliability (R)"
"wearable computing","Computing & IT, Healthcare, Computing & IT, Entertainment","Electron Devices (ED), Computer (C), Technical Activities Board (TAB)"
"wearable sensors","Defense, Healthcare, Communications, Entertainment","Electron Devices (ED), Technical Activities Board (TAB)"
"weather monitoring","Environment","Technical Activities Board (TAB)"
"weather prediction","Environment","Technical Activities Board (TAB)"
"web design","Computing & IT","Computer (C)"
"Web services","Computing & IT","Technical Activities Board (TAB)"
"WHN","Communications","Communications (COMM)"
"Wide Area reliability","Environment","Technical Activities Board (TAB)"
"wideband","Communications","Technical Activities Board (TAB)"
"WIMAX","Communications, Communications","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"wireless","Communications, Communications","Technical Activities Board (TAB), Communications (COMM)"
"Wireless Access","Communications","Communications (COMM)"
"wireless antennas","Healthcare","Technical Activities Board (TAB)"
"wireless control and communication","Manufacturing & Devices, Transportation","Technical Activities Board (TAB), Electron Devices (ED)"
"wireless propagation and impairments","Transportation","Technical Activities Board (TAB)"
"Wireless Propagation Modeling","Communications, Defense","Technical Activities Board (TAB)"
"wireless radios","Healthcare, Education, Communications","Electron Devices (ED), Technical Activities Board (TAB), Communications (COMM)"
"wireless sensing","Healthcare, Manufacturing & Devices","Technical Activities Board (TAB)"
"wireless television","Communications","Technical Activities Board (TAB)"
"wiring","Energy","Technical Activities Board (TAB)"
"workshops","Education","Technical Activities Board (TAB)"
"Worm","Defense","Technical Activities Board (TAB)"
"xbt","Environment","Oceanic Engineering (OE)"
"yield","Agriculture, Manufacturing & Devices","Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB)"
