"Name","Sectors","Filters","Related Tags"
"multi-length transistor design methodologies","Manufacturing & Devices","",""
"multi-port memory","Manufacturing & Devices","",""
"Music on Demand","Entertainment","",""
"musical","Computing & IT","",""
"Nano Sensors","Computing & IT, Defense","",""
"nano tech","Computing & IT","",""
"Nano Technology","Defense","",""
"Nanoelectronics for computing","Computing & IT","",""
"nanofabrication technologies","Manufacturing & Devices","",""
"nanomagnetism","Manufacturing & Devices","",""
"nanosensors","Environment","",""
"nanotechnology","Healthcare, Communications","",""
"nano-crystal memory","Manufacturing & Devices","",""
"nano-electronics","Manufacturing & Devices","",""
"narrowband","Communications","",""
"narrowband RF","Manufacturing & Devices, Communications","",""
"natural disaster","Environment","",""
"Natural Language Processing","Computing & IT","",""
"nautical sensor systems","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Navigation","Defense","",""
"NEMP","Defense, Energy, Critical Infrastructure","",""
"network control","Manufacturing & Devices","",""
"Network interfaces","Computing & IT","",""
"network management","Education, Communications","",""
"Network Management","Communications","",""
"network neutrality","Communications","",""
"Networking","Communications, Computing & IT","",""
"networking","Computing & IT","",""
"Networks on Chip","Computing & IT","",""
"neural control","Transportation","",""
"Neural Systems","Communications, Healthcare","",""
"new media","Education, Computing & IT","",""
"noise analysis","Computing & IT, Defense, Agriculture, Manufacturing & Devices, Communications","",""
"noise anlysis","Critical Infrastructure","",""
"noise cancelling","Communications","",""
"noise pollution","Environment","",""
"Nonlethal weapons","Defense","",""
"non-destructive evaluation","Critical Infrastructure","",""
"non-linear analog circuits","Manufacturing & Devices","",""
"Non-linear effects","Critical Infrastructure","",""
"non-volatile memory","Manufacturing & Devices","",""
"nourishment","Critical Infrastructure","",""
"nuclear","Energy","",""
"Nuclear","Defense","",""
"nuclear radiation effects","Defense","",""
"Nuclear Survivability","Defense","",""
"Nuclear Weapons","Critical Infrastructure","",""
"Objectives","Financial Services, Healthcare, Computing & IT, Manufacturing & Devices, Retail, Agriculture, Critical Infrastructure, Energy, Education, Communications, Entertainment, Environment, Transportation, Defense","",""
"object-oriented design","Computing & IT","",""
"object-oriented programming","Computing & IT","",""
"obsolescence","Computing & IT","",""
"OCR","Computing & IT","",""
"OFDM","Communications","",""
"Offensive Weaponry","Defense","",""
"one product","Manufacturing & Devices","",""
"on-board power","Transportation","",""
"on-chip power conversion","Communications","",""
"on-chip PVT sensing circuits","Manufacturing & Devices","",""
"on-condition maintenance","Defense","",""
"On-the-job","Education","",""
"on_chip","Energy","",""
"open source","Computing & IT","",""
"open systems","Communications","",""
"Operating systems","Computing & IT, Defense","",""
"operation","Energy","",""
"operational oceanography","Defense","",""
"operator stations","Manufacturing & Devices","",""
"optical","Communications, Computing & IT","",""
"optical grid","Computing & IT","",""
"optical sensors","Agriculture, Energy, Environment, Entertainment","",""
"Optical Switching","Communications","",""
"Optical/Fibre communications","Critical Infrastructure","",""
"optimal ramp control","Transportation","",""
"optimal traffic control","Transportation","",""
"optimal transport","Energy","",""
"optimal wing design","Transportation","",""
"optimized content","Education","",""
"Optoelectronic/photonic sensors such as: photovoltaic diodes- photoconductors- photodiodes- phototransistors","Transportation","",""
"Op-amps","Manufacturing & Devices","",""
"organic-electronics","Manufacturing & Devices","",""
"oscillator blocks","Manufacturing & Devices, Communications","",""
"Outdoor Insulation","Energy","",""
"over the horizon radar","Defense","",""
"Packaging and interconnections","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"pandemic prevention","Environment","",""
"pandemics","Healthcare","",""
"Parallel systems","Computing & IT","",""
"parasites","Healthcare","",""
"passive parallel energy storage","Manufacturing & Devices","",""
"patent","Communications","",""
"pattern analysis","Computing & IT","",""
"pattern recognition","Computing & IT","",""
"Pattern reconfiguration","Computing & IT","",""
"performance","Communications, Energy","",""
"performance evaluation","Communications, Computing & IT","",""
"performance metrics","Computing & IT","",""
"permanent magnets","Manufacturing & Devices, Energy","",""
"Personal Health Records","Healthcare","",""
"personal networks","Healthcare, Communications","",""
"personal privacy","Communications","",""
"personal safety","Communications","",""
"Personal Security","Retail, Computing & IT","",""
"PET","Healthcare","",""
"Petaflops","Computing & IT","",""
"petrochem","Manufacturing & Devices","",""
"pharmaceuticals","Healthcare","",""
"phase out","Manufacturing & Devices","",""
"phased arrays","Communications, Transportation, Defense","",""
"phase-change memories","Manufacturing & Devices","",""
"phone-line home networks","Manufacturing & Devices, Communications","",""
"photoacoustics","Healthcare","",""
"Photodetectors","Energy","",""
"photodiode arrays","Transportation","",""
"photodynadic therapy","Healthcare","",""
"photovoltaics","Energy, Environment, Defense","",""
"Physical Design","Computing & IT","",""
"physical layer","Communications","",""
"physical model based statistical sensor array processing; sensors modeling and analysis; processing of wave (EM – acoustic -etc.) and non-wave (chemical – gravity –particle – thermal - radiative and non-radiative); source detection","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"physics of failure","Defense","",""
"piezoelectric","Energy","",""
"place and route","Defense, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure","",""
"Planning","Retail","",""
"planning","Energy","",""
"plant engineering","Manufacturing & Devices","",""
"plasma displays","Entertainment","",""
"plasma tv power supplies","Entertainment","",""
"platforms","Communications","",""
"Platforms","Defense","",""
"platinum resistors","Education","",""
"PLCs","Manufacturing & Devices, Energy","",""
"PLLs.","Manufacturing & Devices","",""
"plug-in hybrid vehicles","Environment","",""
"plug-in hybrids","Transportation","",""
"plug-ing hybrids","Transportation","",""
"Podcasting","Entertainment","",""
"point of care diagnostics","Healthcare","",""
"poles","Energy","",""
"policy","Energy","",""
"pollutants","Healthcare","",""
"pollution control","Environment","",""
"pollution mitigation","Environment","",""
"PON","Manufacturing & Devices, Communications","",""
"Portable Applications","Computing & IT","",""
"portable devices","Communications, Defense","",""
"portable power","Healthcare","",""
"Positioning","Transportation","",""
"positioning for instrumentation","Manufacturing & Devices","",""
"position-sensitive photodetectors","Transportation","",""
"Positron Emission Tomography","Healthcare","",""
"Post-Secondary","Education","",""
"power amplifiers","Manufacturing & Devices, Communications","",""
"power aware design","Healthcare, Energy","",""
"power converters","Defense","",""
"Power Electronics","Energy","",""
"power estimation methodologies","Manufacturing & Devices","",""
"power factor correction","Manufacturing & Devices, Energy","",""
"power generation","Environment","",""
"Power grid capacity","Critical Infrastructure","",""
"power grid fragility","Critical Infrastructure, Environment","",""
"power line communications","Communications","",""
"Power Management","Energy","",""
"Power Quality","Defense","",""
"power quality","Manufacturing & Devices, Energy","",""
"power reduction and management methods for digital VLSI","Manufacturing & Devices","",""
"power saving","Communications","",""
"power semiconductors","Manufacturing & Devices","",""
"power supplies","Entertainment","",""
"power supply","Communications, Computing & IT, Defense","",""
"power supply blocks","Retail","",""
"power transmission","Environment","",""
"powercontrol circuits","Manufacturing & Devices","",""
"powerline","Communications","",""
"Power-aware computing","Manufacturing & Devices, Agriculture, Defense, Financial Services, Computing & IT, Retail, Energy, Entertainment, Communications, Transportation, Environment, Education, Critical Infrastructure, Healthcare","",""
"Power-aware design","Communications, Computing & IT","",""
"power-aware design","Agriculture, Manufacturing & Devices, Critical Infrastructure, Communications, Computing & IT, Defense, Energy, Environment","",""
"power-line networks","Manufacturing & Devices, Communications","",""
"Precision time transfer to challenged platforms","Communications","",""
"Presentation","Education","",""
"pressure sensors","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"Pre-university","Education","",""
"pricing","Energy","",""
"printable electronics","Manufacturing & Devices","",""
"Private","Healthcare","",""
"process","Manufacturing & Devices","",""
"Process automation systems","Manufacturing & Devices","",""
"process control","Manufacturing & Devices","",""
"process failure modes and effects analysis","Manufacturing & Devices","",""
"Process Integration","Financial Services, Healthcare, Computing & IT, Manufacturing & Devices, Retail, Agriculture, Critical Infrastructure, Energy, Education, Communications, Entertainment, Environment, Transportation, Defense","",""
"product and functional safety","Energy, Manufacturing & Devices, Healthcare, Communications, Entertainment, Computing & IT","",""
"product liability","Manufacturing & Devices, Healthcare, Communications, Computing & IT, Defense, Entertainment","",""
"product lifetime","Defense","",""
"product safety","Manufacturing & Devices, Healthcare, Communications, Entertainment, Computing & IT, Retail","",""
"product security","Retail","",""
"productivity","Manufacturing & Devices","",""
"professional development","Education","",""
"prognostics","Transportation, Defense","",""
"Prognostics and Health Management (PHM)","Healthcare, Defense","",""
"Programming languages","Computing & IT","",""
"Project Management","Financial Services, Healthcare, Computing & IT, Manufacturing & Devices, Retail, Agriculture, Critical Infrastructure, Energy, Education, Communications, Entertainment, Environment, Transportation, Defense","",""
"Prosthesis","Healthcare","",""
"prosthetics","Healthcare","",""
"protection","Critical Infrastructure, Energy","",""
"prototyping","Computing & IT","",""
"proximity sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Public","Healthcare","",""
"Public Safety","Critical Infrastructure, Communications","",""
"pulp and paper","Manufacturing & Devices","",""
"Purpose","Critical Infrastructure","",""
"PV Inverter","Energy","",""
"pyroelectric and piezoelectric thermometers","Transportation","",""
"QoE","Communications","",""
"QoS","Communications","",""
"quality","Manufacturing & Devices, Energy","",""
"Quantum computing","Computing & IT","",""
"quantum devices","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"radar","Computing & IT","",""
"Radars","Critical Infrastructure","",""
"radiation","Computing & IT","",""
"Radiation","Defense","",""
"radio","Communications, Education, Manufacturing & Devices, Entertainment","",""
"radio over fiber","Communications","",""
"radiology","Healthcare","",""
"radionuclides","Computing & IT","",""
"radon sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"rail guns","Defense","",""
"ramp control","Transportation","",""
"range finding","Defense","",""
"rapid response","Critical Infrastructure","",""
"RC Acoustic imaging/mapping","Manufacturing & Devices","",""
"RC Acoustic surface-wave devices","Manufacturing & Devices","",""
"read-only memory","Manufacturing & Devices","",""
"real-time","Defense","",""
"Real-time applications","Computing & IT","",""
"recognizing","Computing & IT","",""
"reconfigurable antennas","Communications, Defense, Computing & IT, Transportation","",""
"reconfigurable computing","Computing & IT","",""
"reconfigurable hardware","Computing & IT","",""
"Reconfigurable Hardware","Defense","",""
"reconfiguration","Communications, Defense, Computing & IT, Energy","",""
"recording","Computing & IT","",""
"recovery","Computing & IT, Defense, Critical Infrastructure","",""
"recyclable materials","Environment","",""
"refining","Manufacturing & Devices","",""
"refrigerants","Energy","",""
"regulation","Energy","",""
"regulators","Manufacturing & Devices","",""
"regulatory approvals","Environment","",""
"rehabilitation engineering","Healthcare","",""
"Rehabilitation Medicine","Healthcare","",""
"relaibility","Computing & IT","",""
"relaible power","Retail","",""
"relay","Energy","",""
"reliability","Communications, Defense, Manufacturing & Devices, Energy, Healthcare, Agriculture, Computing & IT, Education, Transportation, Financial Services, Entertainment","",""
"Reliability","Transportation, Education, Communications, Computing & IT, Energy, Environment, Agriculture, Healthcare, Manufacturing & Devices, Critical Infrastructure, Retail, Defense, Financial Services, Entertainment","",""
"reliability modeling","Computing & IT, Defense","",""
"reliability prediction analysis","Defense","",""
"reliable communications","Critical Infrastructure","",""
"reliable power","Critical Infrastructure, Healthcare, Manufacturing & Devices, Communications, Financial Services, Retail, Defense","",""
"remote learning","Education","",""
"remote power","Agriculture, Environment, Critical Infrastructure","",""
"remote sensing","Critical Infrastructure, Healthcare, Environment","",""
"renewable","Energy","",""
"renewable energy","Education","",""
"repair","Communications","",""
"rescue systems","Critical Infrastructure","",""
"residential","Energy","",""
"resilience","Critical Infrastructure","",""
"resistance change memories","Manufacturing & Devices","",""
"resource prioritization","Critical Infrastructure","",""
"resources","Energy","",""
"response systems","Critical Infrastructure","",""
"retinal prostheses","Healthcare","",""
"retinal scanning","Healthcare","",""
"retrieval","Computing & IT","",""
"returns","Manufacturing & Devices","",""
"reverberation","Environment","",""
"RF Compatibility","Defense","",""
"RF compatibility","Communications","",""
"RF Weapons","Critical Infrastructure","",""
"RFID","Critical Infrastructure, Transportation, Education, Computing & IT, Retail, Manufacturing & Devices, Healthcare, Communications, Agriculture, Defense","",""
"RF/IF amplifiers","Manufacturing & Devices, Communications","",""
"risk assessment","Defense, Transportation, Critical Infrastructure, Retail, Financial Services","",""
"risk mitigation","Defense, Manufacturing & Devices, Transportation, Critical Infrastructure, Retail, Financial Services","",""
"robotics","Healthcare","",""
"robotics and automation applications","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"robotics and robots","Manufacturing & Devices","",""
"root cause","Computing & IT","",""
"rov","Defense","",""
"rural healthcare","Healthcare","",""
"rural power","Agriculture","",""
"safe wkshp","Critical Infrastructure","",""
"safety","Energy, Transportation","",""
"Safety","Manufacturing & Devices, Healthcare, Communications, Entertainment, Computing & IT, Transportation, Defense","",""
"Safety Critical","Entertainment, Defense, Manufacturing & Devices, Communications, Computing & IT, Healthcare","",""
"safety critical","Critical Infrastructure, Energy","",""
"safety hazards","Computing & IT","",""
"sag correction","Manufacturing & Devices","",""
"sanitation","Critical Infrastructure","",""
"sar","Defense","",""
"satellite","Defense, Communications","",""
"satellite arrays","Communications","",""
"satellite communications","Defense","",""
"satellite observation","Communications, Transportation, Defense, Environment","",""
"Satellite TV","Communications, Entertainment","",""
"SCADA","Manufacturing & Devices","",""
"scalability","Energy","",""
"scheduled maintenance","Energy, Manufacturing & Devices, Defense","",""
"Scheduling","Computing & IT","",""
"scheduling","Transportation","",""
"scintillators","Energy","",""
"Screening","Healthcare, Defense","",""
"SDH","Manufacturing & Devices, Communications","",""
"SDK","Communications","",""
"Search","Computing & IT","",""
"Secondary","Education","",""
"Secure coding (counterfeiting avoidance)","Retail","",""
"secure communications","Critical Infrastructure","",""
"Secure Communications","Transportation, Education, Defense, Computing & IT, Financial Services","",""
"secure wireless transactions","Financial Services","",""
"security","Communications, Energy, Transportation, Education","",""
"Security","Transportation, Defense","",""
"Security & privacy","Computing & IT, Communications, Entertainment","",""
"segway","Transportation","",""
"seismic","Energy","",""
"self aware health systems","Healthcare","",""
"self aware systems","Critical Infrastructure","",""
"self education","Education","",""
"Self-Aware Systems","Entertainment","",""
"Self-aware systems","Education","",""
"self-aware systems","Communications","",""
"self_organization","Communications","",""
"Semantic Web","Computing & IT","",""
"semiconductor","Energy","",""
"Sensing","Defense, Computing & IT, Healthcare, Critical Infrastructure","",""
"sensing and instrumentation","Manufacturing & Devices, Computing & IT","",""
"sensing and vehicle communications","Transportation, Critical Infrastructure","",""
"sensor","Computing & IT","",""
"sensor array","Computing & IT","",""
"sensor arrays","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"sensor buses","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"sensor devices","Energy, Computing & IT, Agriculture","",""
"Sensor materials","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Sensor Networks","Communications, Defense, Computing & IT","",""
"sensor networks","Energy, Manufacturing & Devices, Financial Services, Education, Entertainment, Retail, Defense, Healthcare, Communications, Environment, Transportation, Computing & IT, Critical Infrastructure","",""
"sensor phenomena","Education","",""
"Sensor phenomena & characterization (sensitivity- selectivity- noise- aging- hysteresis- dynamic range- interfering effects- etc.)","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"Sensor signal processing and array sensor fusion","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"sensors","Manufacturing & Devices","",""
"sensors and actuators","Agriculture, Communications, Computing & IT, Healthcare, Environment, Energy, Manufacturing & Devices, Entertainment, Defense","",""
"sensors for condition-based maintenance","Transportation, Defense, Manufacturing & Devices","",""
"Sensor-Actuators","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Service Enterprise Engineering","Computing & IT","",""
"service life","Communications, Defense, Manufacturing & Devices, Computing & IT, Transportation, Retail","",""
"service lifetime","Agriculture","",""
"Service Management","Communications, Computing & IT","",""
"service protection","Communications","",""
"Service Systems","Critical Infrastructure","",""
"set_top_box","Communications","",""
"severity of consequences","Defense, Energy","",""
"SGEMP","Critical Infrastructure, Defense","",""
"shapes checking","Manufacturing & Devices","",""
"shelter","Critical Infrastructure","",""
"shielding","Energy","",""
"ship propulsion","Defense","",""
"Shipborne Radar","Communications, Defense, Transportation","",""
"shipping","Transportation","",""
"ship-board power","Defense","",""
"Signal Integrity","Computing & IT","",""
"Signal Intelligence","Defense","",""
"signal processing","Healthcare, Computing & IT, Communications","",""
"Signal processing","Computing & IT","",""
"signal processing theory","Computing & IT","",""
"simplified language","Manufacturing & Devices, Computing & IT","",""
"Simulation","Transportation, Computing & IT, Entertainment","",""
"simulation","Environment","",""
"Simulation Interoperability","Computing & IT","",""
"single particle radiation effects","Defense","",""
"single sourcing","Computing & IT","",""
"Situational Awareness","Defense, Computing & IT, Critical Infrastructure","",""
"situational awareness","Critical Infrastructure, Retail, Defense, Healthcare, Manufacturing & Devices","",""
"six sigma","Defense","",""
"smart antennas","Computing & IT, Defense, Transportation","",""
"smart cars","Transportation","",""
"smart grid","Energy","",""
"smart highways","Transportation","",""
"smart sensors","Manufacturing & Devices, Agriculture, Computing & IT, Energy, Healthcare","",""
"smart sensor-actuators and networkable sensors-actuators","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Smart Weapons","Energy, Defense","",""
"smart_grid","Energy","",""
"social and ethical issues","Healthcare","",""
"Social computing","Computing & IT, Entertainment","",""
"social networking","Education, Communications","",""
"sociological mobility aware networks","Communications","",""
"soft starters","Manufacturing & Devices","",""
"software architecture","Computing & IT","",""
"software defined radio","Transportation, Critical Infrastructure, Defense, Communications, Manufacturing & Devices","",""
"Software Defined Radio","Communications","",""
"software design","Communications, Computing & IT","",""
"Software Engineering","Computing & IT, Communications","",""
"software engineering curricula","Education","",""
"software life cycle","Computing & IT","",""
"software patterns","Computing & IT","",""
"software process","Computing & IT","",""
"software requirements","Communications","",""
"software testing","Computing & IT","",""
"solar","Energy","",""
"solar cells","Manufacturing & Devices","",""
"solar power","Environment, Defense","",""
"solid state circuit breakers","Energy","",""
"solid state lighting","Transportation, Environment","",""
"solid-state disk controllers","Manufacturing & Devices","",""
"solid-state sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Solving problems","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Agriculture, Critical Infrastructure, Education, Environment, Entertainment, Communications, Transportation","",""
"Sonar","Defense","",""
"sonar","Computing & IT","",""
"SONET","Manufacturing & Devices, Communications","",""
"Sonobuoys","Defense","",""
"space commercialization","Transportation","",""
"Space Radar","Defense, Transportation","",""
"Space Radiation","Defense","",""
"space radiation effects","Defense","",""
"Spacecraft","Defense","",""
"SPD","Critical Infrastructure","",""
"speaker recognition","Computing & IT","",""
"special effects","Entertainment","",""
"specific ion sensors (such as pH sensors)","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"spectral management","Communications","",""
"spectrum agile radio","Communications","",""
"spectrum allocation","Communications","",""
"spectrum control","Defense","",""
"speech","Computing & IT","",""
"Speech","Entertainment","",""
"speech analysis","Computing & IT","",""
"Speech and Audio Processing","Computing & IT","",""
"speech applications","Communications","",""
"speech enhancement","Computing & IT","",""
"speech language processing","Computing & IT","",""
"speech privacy","Communications","",""
"speech production and perception","Computing & IT","",""
"speech recognition","Computing & IT","",""
"speed of new technology","Healthcare","",""
"spintronics","Computing & IT","",""
"Spintronics","Manufacturing & Devices, Defense","",""
"spread spectrum","Communications, Computing & IT","",""
"SQUIDs","Healthcare","",""
"SREMP","Critical Infrastructure","",""
"stability","Energy","",""
"standardization","Manufacturing & Devices, Energy","",""
"Standards","Communications, Computing & IT, Healthcare","",""
"standards","Healthcare, Energy","",""
"standy-by power","Critical Infrastructure, Healthcare","",""
"STAP radar","Defense","",""
"state diagram","Computing & IT","",""
"state machine","Computing & IT","",""
"Static memory","Manufacturing & Devices","",""
"static transfer switches","Healthcare","",""
"statistics","Environment","",""
"stator","Energy","",""
"storage","Energy, Computing & IT","",""
"Storage Systems","Computing & IT","",""
"Strategy","Agriculture, Manufacturing & Devices","",""
"structural health monitoring","Healthcare, Transportation, Critical Infrastructure","",""
"Student evaluation","Education","",""
"student outreach","Education","",""
"submarine","Energy","",""
"subscriber-line circuits","Manufacturing & Devices, Communications","",""
"subscriber-line modems","Manufacturing & Devices, Communications","",""
"substations","Energy","",""
"sub-threshold logic design; molecular-electronics","Manufacturing & Devices","",""
"Super computing","Computing & IT","",""
"superconductivity","Energy","",""
"supply chain integration","Manufacturing & Devices","",""
"supply-side","Energy","",""
"supportability","Transportation, Defense","",""
"surface-enhanced Raman scattering (SERS) sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"surge protection","Retail","",""
"surges","Energy","",""
"surveillance","Computing & IT","",""
"Survivability","Critical Infrastructure, Defense","",""
"susceptibility","Transportation, Defense","",""
"Susceptibility","Critical Infrastructure","",""
"sustainability","Environment, Critical Infrastructure","",""
"sustainable energy","Education, Energy","",""
"Sustainment of Commerce","Critical Infrastructure","",""
"Sustainment of Life","Critical Infrastructure","",""
"switched-capacitor circuits; synthesizers","Manufacturing & Devices","",""
"switching","Energy","",""
"switching amplifiers","Entertainment","",""
"Synchronization","Communications","",""
"synchronization","Education, Computing & IT","",""
"synthesis","Computing & IT","",""
"synthesizing","Computing & IT","",""
"synthetic aperture radar","Transportation, Defense","",""
"system","Computing & IT","",""
"system and equipment health management","Manufacturing & Devices, Healthcare","",""
"System approach","Critical Infrastructure","",""
"system architecture for automation manufacturing","Manufacturing & Devices","",""
"system architectures","Manufacturing & Devices","",""
"system integration","Communications, Defense","",""
"system Prognostics and Health management (PHM)","Education, Healthcare","",""
"System Prognostics and Health Managment (SPHM)","Defense","",""
"system safety","Education, Energy, Defense, Transportation","",""
"system security","Energy, Financial Services, Education, Communications, Computing & IT, Defense","",""
"systems","Computing & IT","",""
"systems analysis","Computing & IT","",""
"systems applications","Computing & IT","",""
"Systems engineering","Communications, Computing & IT","",""
"Systems Engineering","Computing & IT","",""
"systems of systems","Computing & IT","",""
"System-level Design","Computing & IT","",""
"system-of-systems","Healthcare","",""
"System-on-Chip","Computing & IT","",""
"Tampering","Retail","",""
"Target Avoidance Radar","Defense, Transportation","",""
"technical communication","Education, Computing & IT","",""
"technology","Computing & IT","",""
"telemedicine","Healthcare","",""
"telemetering","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"Telemetry","Healthcare","",""
"Tempest / Data Security","Computing & IT, Defense","",""
"terahertz imaging","Healthcare, Defense","",""
"terrorism","Critical Infrastructure","",""
"test","Agriculture, Energy","",""
"Test Technology","Computing & IT","",""
"testability","Communications, Defense, Manufacturing & Devices, Computing & IT, Education, Transportation","",""
"testing","Energy, Communications","",""
"Testing and verification","Manufacturing & Devices, Critical Infrastructure, Agriculture, Healthcare, Retail, Computing & IT, Energy, Environment, Transportation, Defense, Communications, Entertainment, Financial Services, Education","",""
"text analysis","Computing & IT","",""
"theory","Computing & IT","",""
"therapeutic ultrasound","Healthcare","",""
"thermal","Energy, Computing & IT","",""
"thermal analysis","Communications, Defense, Manufacturing & Devices, Computing & IT, Critical Infrastructure","",""
"Thermal analysis","Manufacturing & Devices","",""
"Thermal asperity","Manufacturing & Devices","",""
"Thermal assist unit","Manufacturing & Devices","",""
"Thermal breakdown","Manufacturing & Devices","",""
"Thermal converters","Manufacturing & Devices","",""
"Thermal coupling in mixed-signal circuits","Manufacturing & Devices","",""
"Thermal couplings","Manufacturing & Devices","",""
"Thermal effects","Manufacturing & Devices","",""
"Thermal factors","Manufacturing & Devices","",""
"Thermal imager","Manufacturing & Devices","",""
"thermal management","Computing & IT","",""
"Thermal noise","Manufacturing & Devices","",""
"Thermal printers","Manufacturing & Devices","",""
"Thermal resistance","Manufacturing & Devices","",""
"Thermal sensors -platinum resistors","Transportation","",""
"Thermal stability","Manufacturing & Devices","",""
"Thermal Stress","Defense, Critical Infrastructure, Healthcare, Transportation, Energy, Environment, Communications, Manufacturing & Devices","",""
"Thermal testing","Manufacturing & Devices","",""
"Thermal variables","Manufacturing & Devices","",""
"Thermal variables control","Manufacturing & Devices","",""
"thermistors","Transportation","",""
"Thermistors","Manufacturing & Devices","",""
"Thermocouples","Manufacturing & Devices","",""
"thermocouples","Transportation","",""
"Thermoelectric devices","Manufacturing & Devices","",""
"Thermoelectric energy conversion","Manufacturing & Devices","",""
"Thermoelectric materials/devices","Manufacturing & Devices","",""
"Thermometers","Manufacturing & Devices","",""
"Thermometry","Manufacturing & Devices","",""
"thermopiles","Transportation","",""
"Thermoreflectance","Manufacturing & Devices","",""
"Thermoresistivity","Manufacturing & Devices","",""
"thick film and bulk strain gauges","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"Thick-film circuits","Manufacturing & Devices","",""
"Thin films","Manufacturing & Devices","",""
"thin-film and thick-film gas sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"Thin-film circuit thermal factors","Manufacturing & Devices","",""
"Thin-film circuits","Manufacturing & Devices","",""
"Thin-film devices","Manufacturing & Devices","",""
"Thin-film inductors","Manufacturing & Devices","",""
"Thin-film resistors","Manufacturing & Devices","",""
"thin-film sensors","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"Thin-film techniques","Manufacturing & Devices","",""
"Thin-film transistors","Manufacturing & Devices","",""
"threat recognition","Critical Infrastructure","",""
"Three-dimensional displays","Manufacturing & Devices","",""
"Three-dimensional integrated circuits","Manufacturing & Devices","",""
"Three-dimensional representation","Manufacturing & Devices","",""
"Three-level mixer","Manufacturing & Devices","",""
"Threshold detectors","Manufacturing & Devices","",""
"Threshold gates","Manufacturing & Devices","",""
"Threshold logic","Manufacturing & Devices","",""
"Threshold logic circuits","Manufacturing & Devices","",""
"Threshold logic devices","Manufacturing & Devices","",""
"Threshold logic functions","Manufacturing & Devices","",""
"Threshold logic gates","Manufacturing & Devices","",""
"Threshold scaling","Manufacturing & Devices","",""
"Threshold voltage","Manufacturing & Devices","",""
